"PermitNumber","PermitteeName","PermitTypeID","PermitIssueDateFrom","IssuedWorkStartDate","IssuedWorkEndDate","PermitHouseNumber","OnStreetName","FromStreetName","ToStreetName","RoadWayType","SideWalkType","Status","BoroughName","SpecificLocation","CraneType","EquipmentType",
"B012019199A76","BALKAN SEWER  AND WATER MAIN SERVICE LLC","'0113","7/18/2019 9:19:48 AM","7/18/2019 9:19:47 AM","7/20/2019 9:19:47 AM","'","STATE STREET","BOND STREET","HOYT STREET","","","ACTIVE","BROOKLYN","345 State Street between Bond Street &amp; Hoyt Street ","","",
"S162019199A22","ZAIM CONTRACTOR CORP.","'1600","7/18/2019 9:19:26 AM","7/18/2019 9:19:26 AM","7/22/2019 11:59:59 PM","'","ELWOOD PLACE","HUNTER PLACE","WALBROOKE AVENUE","","","ACTIVE","STATEN ISLAND","","","",
"Q042019199A05","CONSOLIDATED EDISON","'0411","7/18/2019 9:19:17 AM","7/19/2019 12:00:00 AM","8/17/2019 11:59:59 PM","'"," 119 AVENUE","INWOOD STREET","","","","ACTIVE","QUEENS","SWC - INWOOD ST &amp; 119 AVE ","","",
"M012019199A53","CONSOLIDATED EDISON","'0103","7/18/2019 9:19:09 AM","7/18/2019 9:19:09 AM","10/14/2019 11:59:59 PM","'","MAGAW PLACE","WEST  181 STREET","","","","ACTIVE","MANHATTAN","10' W/E/C MAGAW PLACE 1' S/N/C WEST 181 ST ","","",
"X162019199A07","JOHN DANNA & SONS, INC.","'1600","7/18/2019 9:18:45 AM","7/18/2019 9:18:45 AM","7/22/2019 11:59:59 PM","'","EAST  164 STREET","GRANT AVENUE","SHERMAN AVENUE","","","ACTIVE","BRONX","","","",
"X162019199A06","MAGENTA CONSTRUCTION SERVICES, INC","'1600","7/18/2019 9:18:09 AM","7/18/2019 9:18:09 AM","7/22/2019 11:59:59 PM","'","EAST  213 STREET","MSGR CAHILL PLACE","LACONIA AVENUE","","","ACTIVE","BRONX","","","",
"X162019199A05","AVID WASTE SYSTEMS, INC.","'1600","7/18/2019 9:18:05 AM","7/18/2019 9:18:05 AM","7/22/2019 11:59:59 PM","'","EAST  207 STREET","BAINBRIDGE AVENUE","PERRY AVENUE","","","ACTIVE","BRONX","","","",
"M032019199A11","CONSOLIDATED EDISON","'0310","7/18/2019 9:15:54 AM","7/18/2019 9:15:54 AM","7/19/2019 9:15:54 AM","'","   2 AVENUE","EAST   50 STREET","EAST   51 STREET","","","ACTIVE","MANHATTAN","IFO 957 ","","",
"X162019199A04","AVID WASTE SYSTEMS, INC.","'1600","7/18/2019 9:15:14 AM","7/18/2019 9:15:14 AM","7/22/2019 11:59:59 PM","'","HULL AVENUE","EAST  204 STREET","EAST MOSHOLU PARKWAY NORTH","","","ACTIVE","BRONX","FOR 333 EAST MOSHOLU PKWY ","","",
"Q162019199A09","GPB WASTE NY, LLC","'1600","7/18/2019 9:13:16 AM","7/19/2019 12:00:00 AM","7/23/2019 11:59:59 PM","'","POWER ROAD"," 157 AVENUE"," 158 AVENUE","","","ACTIVE","QUEENS","","","",
"M162019199A11","GPB WASTE NY, LLC","'1600","7/18/2019 9:13:16 AM","7/19/2019 12:00:00 AM","7/23/2019 11:59:59 PM","'","EAST   95 STREET","   1 AVENUE","   2 AVENUE","","","ACTIVE","MANHATTAN","","","",
"M162019199A10","GPB WASTE NY, LLC","'1601","7/18/2019 9:13:16 AM","7/19/2019 12:00:00 AM","7/23/2019 11:59:59 PM","'","WEST   58 STREET","   6 AVENUE","GRAND ARMY PLAZA","","","ACTIVE","MANHATTAN","","","",
"B162019199A15","UNITED CONTAINERS OF QUEENS INC.","'1600","7/18/2019 9:12:34 AM","7/18/2019 9:12:34 AM","7/22/2019 11:59:59 PM","'","WOODBINE STREET","IRVING AVENUE","KNICKERBOCKER AVENUE","","","ACTIVE","BROOKLYN","","","",
"B162019199A14","UNITED CONTAINERS OF QUEENS INC.","'1601","7/18/2019 9:12:34 AM","7/18/2019 9:12:34 AM","7/22/2019 11:59:59 PM","'","LIBERTY AVENUE","MILFORD STREET","MONTAUK AVENUE","","","ACTIVE","BROOKLYN","","","",
"M012019199A52","CONSOLIDATED EDISON","'0103","7/18/2019 9:12:14 AM","7/18/2019 9:12:14 AM","10/14/2019 11:59:59 PM","'","FT WASHINGTON AVENUE","WEST  179 STREET","WEST  180 STREET","","","ACTIVE","MANHATTAN","1' N/N/C WEST 179 ST 12' W/E/C FT. WASHINGTON AVE ","","",
"M012019199A51","CONSOLIDATED EDISON","'0103","7/18/2019 9:12:14 AM","7/18/2019 9:12:14 AM","10/14/2019 11:59:59 PM","'","FT WASHINGTON AVENUE","WEST  181 STREET","","","","ACTIVE","MANHATTAN","1' N/S/C WEST 181 ST 12' W/E/C FT. WASHINGTON AVE ","","",
"M012019199A50","CONSOLIDATED EDISON","'0103","7/18/2019 9:12:13 AM","7/18/2019 9:12:13 AM","10/14/2019 11:59:59 PM","'","FT WASHINGTON AVENUE","WEST  180 STREET","WEST  181 STREET","","","ACTIVE","MANHATTAN","1' N/N/C WEST 180 ST 12' W/E/C FT. WASHINGTON AVE ","","",
"M012019199A49","CONSOLIDATED EDISON","'0103","7/18/2019 9:12:13 AM","7/18/2019 9:12:13 AM","10/14/2019 11:59:59 PM","'","FT WASHINGTON AVENUE","WEST  180 STREET","","","","ACTIVE","MANHATTAN","1' S/N/C WEST 180 ST 12' W/E/C FT. WASHINGTON AVE ","","",
"Q042019199A04","FROGIERO CONTRACTING INC","'0401","7/18/2019 9:10:26 AM","7/18/2019 9:10:26 AM","8/14/2019 11:59:59 PM","'","  71 ROAD"," 112 STREET"," 113 STREET","","","ACTIVE","QUEENS","71-02 113 street ","","",
"B022019199A05","TRITON BUILDERS, INC.","'0204","7/18/2019 9:08:37 AM","7/18/2019 9:08:37 AM","10/15/2019 11:59:59 PM","'","PAIDGE AVENUE","DEAD END","PROVOST STREET","","","ACTIVE","BROOKLYN","327 greenpoint ave ","","Jersey Barrier",
"B022019199A04","TRITON BUILDERS, INC.","'0221","7/18/2019 9:08:36 AM","7/18/2019 9:08:36 AM","10/15/2019 11:59:59 PM","'","PAIDGE AVENUE","DEAD END","PROVOST STREET","","","ACTIVE","BROOKLYN","327 greenpoint ave ","","",
"B022019199A03","TRITON BUILDERS, INC.","'0215","7/18/2019 9:08:36 AM","7/18/2019 9:08:36 AM","10/15/2019 11:59:59 PM","'","PAIDGE AVENUE","DEAD END","PROVOST STREET","","","ACTIVE","BROOKLYN","327 greenpoint ave ","","",
"B022019199A02","TRITON BUILDERS, INC.","'0211","7/18/2019 9:08:35 AM","7/18/2019 9:08:35 AM","10/15/2019 11:59:59 PM","'","PAIDGE AVENUE","DEAD END","PROVOST STREET","","","ACTIVE","BROOKLYN","327 greenpoint ave ","","",
"B022019199A01","TRITON BUILDERS, INC.","'0208","7/18/2019 9:08:35 AM","7/18/2019 9:08:35 AM","10/15/2019 11:59:59 PM","'","PAIDGE AVENUE","DEAD END","PROVOST STREET","","","ACTIVE","BROOKLYN","327 greenpoint ave ","","",
"Q042019199A03","FROGIERO CONTRACTING INC","'0401","7/18/2019 9:08:03 AM","7/18/2019 9:08:03 AM","8/14/2019 11:59:59 PM","'","  71 AVENUE"," 112 STREET"," 113 STREET","","","ACTIVE","QUEENS","71-02 113 street ","","",
"Q012019199A40","CONSOLIDATED EDISON","'0103","7/18/2019 9:07:29 AM","7/18/2019 9:07:29 AM","9/15/2019 11:59:59 PM","'","  88 DRIVE"," 242 STREET","CROSS ISLAND PARKWAY","","","ACTIVE","QUEENS","138' EEC OF 242 STREET &amp; 0' SNC OF 88 DRIVE ","","",
"Q162019199A08","D.B. DEMOLITION INC.","'1600","7/18/2019 9:05:49 AM","7/18/2019 9:05:49 AM","7/22/2019 11:59:59 PM","'"," 173 STREET","  65 AVENUE","HORACE HARDING EXPRESSWAY","","","ACTIVE","QUEENS","","","",
"B162019199A13","BORO-WIDE RECYCLING CORP.","'1600","7/18/2019 9:05:44 AM","7/18/2019 9:05:44 AM","7/22/2019 11:59:59 PM","'","EAST   36 STREET","AVENUE R","FILLMORE AVENUE","","","ACTIVE","BROOKLYN","On corner of Ave R &amp; East 36 Street ","","",
"M162019199A09","PHASE 1 REMOVALS, INC.","'1601","7/18/2019 9:05:26 AM","7/18/2019 9:05:26 AM","7/22/2019 11:59:59 PM","'","   2 AVENUE","EAST   19 STREET","EAST   20 STREET","","","ACTIVE","MANHATTAN","swm ","","",
"X012019199A29","CROWN CASTLE NG EAST LLC.","'0127","7/18/2019 9:04:43 AM","7/18/2019 9:04:43 AM","8/16/2019 11:59:59 PM","'","HULL AVENUE","EAST  207 STREET","EAST  209 STREET","","","ACTIVE","BRONX","Repair existing fiber optic conduit in street. NYD 1483 ","","",
"B162019199A12","SAL DONA, INC.","'1600","7/18/2019 9:03:41 AM","7/18/2019 9:03:41 AM","7/22/2019 11:59:59 PM","'","ROGERS AVENUE","PROSPECT PLACE","ST MARKS AVENUE","","","ACTIVE","BROOKLYN","","","",
"Q022019199A03","ALL STATE 12 GENERAL CONTRACTING CORP.","'0214","7/18/2019 9:02:32 AM","7/18/2019 9:02:32 AM","9/7/2019 11:59:59 PM","'","  11 STREET","  38 AVENUE","  40 AVENUE","","","ACTIVE","QUEENS","","","",
"Q022019199A02","ALL STATE 12 GENERAL CONTRACTING CORP.","'0204","7/18/2019 9:01:54 AM","7/18/2019 9:01:54 AM","9/7/2019 11:59:59 PM","'","  11 STREET","  38 AVENUE","  40 AVENUE","","","ACTIVE","QUEENS","","","Maintain Fence",
"Q022019199A01","ALL STATE 12 GENERAL CONTRACTING CORP.","'0204","7/18/2019 9:01:53 AM","7/18/2019 9:01:53 AM","9/7/2019 11:59:59 PM","'","  11 STREET","  38 AVENUE","  40 AVENUE","","","ACTIVE","QUEENS","","","Jersey Barrier",
"X022019199A19","NEWBURGH IRON LLC","'0215","7/18/2019 9:01:49 AM","7/20/2019 12:00:00 AM","7/28/2019 11:59:59 PM","'","WESTCHESTER AVENUE","BERGEN AVENUE","BROOK AVENUE","","","ACTIVE","BRONX","600 Bergen Avenue ","","",
"X022019199A18","NEWBURGH IRON LLC","'0211","7/18/2019 9:01:49 AM","7/20/2019 12:00:00 AM","7/28/2019 11:59:59 PM","'","WESTCHESTER AVENUE","BERGEN AVENUE","BROOK AVENUE","","","ACTIVE","BRONX","600 Bergen Avenue ","","",
"X022019199A17","NEWBURGH IRON LLC","'0203","7/18/2019 9:01:48 AM","7/20/2019 12:00:00 AM","7/28/2019 11:59:59 PM","'","WESTCHESTER AVENUE","BERGEN AVENUE","BROOK AVENUE","","","ACTIVE","BRONX","600 Bergen Avenue ","Main - Mobile","",
"Q012019199A39","BALKAN SEWER  AND WATER MAIN SERVICE LLC","'0113","7/18/2019 9:01:40 AM","7/18/2019 9:01:39 AM","7/20/2019 9:01:39 AM","'","  98 AVENUE"," 219 STREET","SPRINGFIELD BOULEVARD","","","ACTIVE","QUEENS","218-84 98 Ave between 219 St &amp; Springfield Blvd ","","",
"S042019199A00","GREAT EASTERN MAINTENANCE SERVICES, INC.","'0403","7/18/2019 9:01:06 AM","7/18/2019 9:01:06 AM","8/10/2019 11:59:59 PM","'","CRANFORD STREET","DURANT AVENUE","O GORMAN AVENUE","","","ACTIVE","STATEN ISLAND","","","",
"M042019199A00","CASTCAPA CONSTRUCTION, LLC","'0403","7/18/2019 9:01:02 AM","7/18/2019 9:01:02 AM","8/13/2019 11:59:59 PM","'","WEST   13 STREET","   5 AVENUE","   6 AVENUE","","","ACTIVE","MANHATTAN","","","",
"X012019199A28","EXTENET SYSTEMS, INC.","'0127","7/18/2019 9:00:52 AM","7/18/2019 9:00:52 AM","7/30/2019 11:59:59 PM","'","CONCORD AVENUE","EAST  142 STREET","ST MARYS STREET","","","ACTIVE","BRONX","Installation of fiber optic conduit from hand-hole to light-pole. Node 18037. ","","",
"X042019199A00","EXTENET SYSTEMS, INC.","'0410","7/18/2019 9:00:51 AM","7/18/2019 9:00:51 AM","7/30/2019 11:59:59 PM","'","CONCORD AVENUE","ST MARYS STREET","","","","ACTIVE","BRONX","Installation of fiber optic conduit from hand-hole to light-pole. Node 18037.
 ","","",
"X012019199A27","EXTENET SYSTEMS, INC.","'0121","7/18/2019 9:00:51 AM","7/18/2019 9:00:51 AM","7/30/2019 11:59:59 PM","'","CONCORD AVENUE","EAST  142 STREET","ST MARYS STREET","","","ACTIVE","BRONX","Installation of fiber optic conduit from hand-hole to light-pole. Node 18037. ","","",
"X012019199A26","EXPRESS PLUMBING SEWER AND WATER MAIN CORP.","'0113P","7/18/2019 8:59:01 AM","7/18/2019 8:59:00 AM","7/20/2019 8:59:00 AM","'","WHEELER AVENUE","BRONX RIVER AVENUE","EAST  172 STREET","","","ACTIVE","BRONX","CUT ON SIDEWALK/STREET ","","",
"M022019199A95","GLENCO CONTRACTING GROUP INC","'0215","7/18/2019 8:58:35 AM","8/3/2019 12:00:00 AM","10/29/2019 11:59:59 PM","'","WEST  120 STREET","AMSTERDAM AVENUE","MORNINGSIDE DRIVE","","","ACTIVE","MANHATTAN","","","",
"M022019199A94","GLENCO CONTRACTING GROUP INC","'0211","7/18/2019 8:58:35 AM","8/3/2019 12:00:00 AM","10/29/2019 11:59:59 PM","'","WEST  120 STREET","AMSTERDAM AVENUE","MORNINGSIDE DRIVE","","","ACTIVE","MANHATTAN","","","",
"M022019199A93","GLENCO CONTRACTING GROUP INC","'0203","7/18/2019 8:58:34 AM","8/3/2019 12:00:00 AM","10/29/2019 11:59:59 PM","'","WEST  120 STREET","AMSTERDAM AVENUE","MORNINGSIDE DRIVE","","","ACTIVE","MANHATTAN","","Main - Mobile","",
"B162019199A11","CURBSIDE INC.","'1600","7/18/2019 8:58:31 AM","7/18/2019 8:58:31 AM","7/22/2019 11:59:59 PM","'","WILLOUGHBY AVENUE","MARCY AVENUE","TOMPKINS AVENUE","","","ACTIVE","BROOKLYN","545 Willoughby Ave ","","",
"B162019199A10","ROYAL WASTE SERVICES, INC.","'1600","7/18/2019 8:57:39 AM","7/18/2019 8:57:39 AM","7/22/2019 11:59:59 PM","'","CENTRAL AVENUE","STARR STREET","TROUTMAN STREET","","","ACTIVE","BROOKLYN","112 CENTRAL AVE ","","",
"B012019199A75","CONSOLIDATED EDISON","'0102","7/18/2019 8:53:25 AM","7/19/2019 12:00:00 AM","9/17/2019 11:59:59 PM","'","ATLANTIC AVENUE","ALBANY AVENUE","TROY AVENUE","","","ACTIVE","BROOKLYN","120' EEC OF ALBANY AVENUE AND 7'-5&quot; NNC OF ATLANTIC AVENUE ","","",
"Q012019198B18","CONSOLIDATED EDISON","'0122P","7/18/2019 8:52:20 AM","7/17/2019 11:35:15 AM","8/15/2019 11:59:59 PM","'","  46 ROAD"," 202 STREET"," 204 STREET","","","ACTIVE","QUEENS","171 wwc of 204 st 5 nsc of 46 rd","","",
"Q162019199A07","D. DANIELS CONTRACTING LTD.","'1600","7/18/2019 8:51:34 AM","7/19/2019 12:00:00 AM","7/23/2019 11:59:59 PM","'","BEACH  132 STREET","BEACH CHANNEL DRIVE","CRONSTON AVENUE","","","ACTIVE","QUEENS","","","",
"Q012019199A38","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0122","7/18/2019 8:51:20 AM","7/18/2019 8:51:20 AM","8/16/2019 11:59:59 PM","'"," 164 ROAD"," 104 STREET","CALHOUN COURT","","","ACTIVE","QUEENS","","","",
"B012019199A74","VERIZON NEW YORK INC.","'0105","7/18/2019 8:51:16 AM","7/18/2019 8:51:16 AM","9/15/2019 11:59:59 PM","'","EAST   94 STREET","AVENUE N","KAUFMAN PLACE","","","ACTIVE","BROOKLYN","a ","","",
"X012019196A10","O'GRADY PLUMBING LLC","'0113","7/18/2019 8:48:57 AM","7/15/2019 7:49:16 AM","8/13/2019 11:59:59 PM","'","EAST  220 STREET","CARPENTER AVENUE","WHITE PLAINS ROAD","","","ACTIVE","BRONX","","","",
"M032019199A10","VERIZON NEW YORK INC.","'0301","7/18/2019 8:48:11 AM","7/18/2019 8:48:11 AM","7/19/2019 8:48:11 AM","'","   6 AVENUE","WEST   45 STREET","WEST   46 STREET","","","ACTIVE","MANHATTAN","SEGMENT ","","",
"B012019199A73","HARRIS WATER MAIN & SEWER CONTRACTORS, INC.","'0113","7/18/2019 8:48:04 AM","7/18/2019 8:48:03 AM","7/20/2019 8:48:03 AM","'","ST MARKS AVENUE","HOWARD AVENUE","SARATOGA AVENUE","","","ACTIVE","BROOKLYN","working on St Marks Av ","","",
"B012019199A72","CONSOLIDATED EDISON","'0156","7/18/2019 8:47:12 AM","7/18/2019 8:47:11 AM","7/20/2019 8:47:11 AM","'","KINGS HIGHWAY","CONEY ISLAND AVENUE","EAST   12 STREET","","","ACTIVE","BROOKLYN","Inspector Lewis MIDBLOCK OF LOCATION SL19-02252A-B ","","",
"S192019199A01","CONSOLIDATED EDISON","'1902","7/18/2019 8:45:32 AM","7/18/2019 8:45:32 AM","10/15/2019 11:59:59 PM","'","CEDAR GROVE COURT","BEND","CEDAR GROVE AVENUE","","","ACTIVE","STATEN ISLAND","9 cedar grove ct from cedar grove av ","","",
"M162019199A08","D-BEST EQUIPMENT CORP","'1600","7/18/2019 8:44:23 AM","7/19/2019 12:00:00 AM","7/23/2019 11:59:59 PM","'","WEST  105 STREET","RIVERSIDE DRIVE","WEST END AVENUE","","","ACTIVE","MANHATTAN","West 105th Street/West End Ave ","","",
"M022019199A92","SKYLIFT CONTRACTOR CORP.","'0215","7/18/2019 8:43:51 AM","7/20/2019 12:00:00 AM","7/21/2019 11:59:59 PM","'","EAST   98 STREET","   5 AVENUE","MADISON AVENUE","","","ACTIVE","MANHATTAN","","","",
"M022019199A91","SKYLIFT CONTRACTOR CORP.","'0211","7/18/2019 8:43:51 AM","7/20/2019 12:00:00 AM","7/21/2019 11:59:59 PM","'","EAST   98 STREET","   5 AVENUE","MADISON AVENUE","","","ACTIVE","MANHATTAN","","","",
"M022019199A90","SKYLIFT CONTRACTOR CORP.","'0203","7/18/2019 8:43:50 AM","7/20/2019 12:00:00 AM","7/21/2019 11:59:59 PM","'","EAST   98 STREET","   5 AVENUE","MADISON AVENUE","","","ACTIVE","MANHATTAN","","Main - Mobile","",
"B162019199A09","D-BEST EQUIPMENT CORP","'1600","7/18/2019 8:43:44 AM","7/19/2019 12:00:00 AM","7/23/2019 11:59:59 PM","'","HAWTHORNE STREET","NOSTRAND AVENUE","ROGERS AVENUE","","","ACTIVE","BROOKLYN","","","",
"Q012019199A36","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0103","7/18/2019 8:41:41 AM","7/31/2019 12:00:00 AM","10/28/2019 11:59:59 PM","'"," 111 AVENUE"," 216 STREET","","","","ACTIVE","QUEENS","5x10 opening ","","",
"Q012019199A35","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0103","7/18/2019 8:41:03 AM","7/31/2019 12:00:00 AM","10/28/2019 11:59:59 PM","'"," 111 AVENUE"," 216 STREET","SPRINGFIELD BOULEVARD","","","ACTIVE","QUEENS","Street &amp; Sidewalk  ","","",
"Q012019199A34","LIBERTY WATER AND SEWER LLC","'0114","7/18/2019 8:41:00 AM","7/18/2019 8:40:59 AM","7/20/2019 8:40:59 AM","'"," 214 STREET","  67 AVENUE","  69 AVENUE","","","ACTIVE","QUEENS","67-23 214 St. Queens ","","",
"Q012019199A33","CONSOLIDATED EDISON","'0135P","7/18/2019 8:40:51 AM","7/19/2019 12:00:00 AM","8/17/2019 11:59:59 PM","'","  39 STREET","  49 AVENUE","  50 AVENUE","","","ACTIVE","QUEENS","F/O 50-26 39 ST B/T 49 AVE &amp; 50 AVE ","","",
"B162019199A08","D & N SERVICES, INC.","'1601","7/18/2019 8:40:42 AM","7/18/2019 8:40:42 AM","7/22/2019 11:59:59 PM","'","BUSHWICK AVENUE","AINSLIE STREET","DEVOE STREET","","","ACTIVE","BROOKLYN","","","",
"Q012019199A32","THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY","'0103","7/18/2019 8:40:23 AM","7/18/2019 8:40:23 AM","10/15/2019 11:59:59 PM","'"," 224 STREET","MERRICK BOULEVARD","","","","ACTIVE","QUEENS","5x10 opening r.gao  ","","",
"B012019199A71","CONSOLIDATED EDISON","'0102P","7/18/2019 8:39:57 AM","7/19/2019 12:00:00 AM","9/17/2019 11:59:59 PM","'","   3 AVENUE","  52 STREET","  53 STREET","","","ACTIVE","BROOKLYN","70' NNC OF 53 STREET AND 5' EWC OF 3 AVENUE ","","",
"B022019199A00","ARMSTRONG ROOFING, CORP.","'0204","7/18/2019 8:39:51 AM","7/18/2019 8:39:51 AM","10/14/2019 11:59:59 PM","'","WILSON STREET","BEDFORD AVENUE","LEE AVENUE","","","ACTIVE","BROOKLYN","","","Backhoe",
"M012019199A48","CONSOLIDATED EDISON","'0173","7/18/2019 8:39:41 AM","7/22/2019 12:00:00 AM","8/4/2019 11:59:59 PM","'","   5 AVENUE","EAST  125 STREET","","","","ACTIVE","MANHATTAN","E 125 ST MILL &amp; PAVE REGRADE  ","","",
"M012019199A47","CONSOLIDATED EDISON","'0173","7/18/2019 8:39:39 AM","8/10/2019 12:00:00 AM","8/23/2019 11:59:59 PM","'","   5 AVENUE","EAST  124 STREET","EAST  125 STREET","","","ACTIVE","MANHATTAN","E 125 ST MILL &amp; PAVE REGRADE  ","","",
